id,age
0,44
1,31
2,45
3,0
4,8
5,52
6,29
7,14
8,16
9,44
10,39
11,45
12,26
13,82
14,48
15,41
16,84
17,42
18,4
19,53
20,14
21,18
22,30
23,23
24,34
25,28
26,23
27,61
28,45
29,24
30,2
31,14
32,55
33,55
34,59
35,46
36,14
37,3
38,7
39,24
40,19
41,35
42,7
43,4
44,56
45,3
46,31
47,9
48,15
49,18
50,37
51,79
52,18
53,29
54,46
55,25
56,8
57,22
58,36
59,56
60,32
61,27
62,23
63,65
64,57
65,33
66,70
67,47
68,81
69,69
70,49
71,61
72,17
73,2
74,61
75,38
76,8
77,32
78,44
79,43
80,20
81,67
82,69
83,28
84,32
85,2
86,70
87,53
88,54
89,5
90,84
91,52
92,35
93,55
94,5
95,69
96,55
97,20
98,28
99,15
100,25
101,16
102,3
103,48
104,25
105,26
106,7
107,47
108,3
109,17
110,36
111,45
112,31
113,40
114,64
115,55
116,61
117,47
118,92
119,37
120,40
121,33
122,56
123,40
124,50
125,67
126,6
127,5
128,41
129,0
130,52
131,37
132,37
133,49
134,88
135,13
136,54
137,73
138,77
139,8
140,1
141,93
142,30
143,19
144,7
145,78
146,27
147,4
148,20
149,42
150,23
151,25
152,61
153,71
154,2
155,65
156,20
157,26
158,63
159,23
160,34
161,80
162,14
163,19
164,89
165,18
166,30
167,51
168,81
169,58
170,81
171,8
172,0
173,73
174,16
175,27
176,68
177,29
178,77
179,1
180,34
181,88
182,35
183,41
184,67
185,17
186,40
187,28
188,83
189,47
190,83
191,33
192,61
193,69
194,51
195,25
196,51
197,12
198,9
199,47
200,7
201,72
202,29
203,47
204,73
205,58
206,75
207,82
208,9
209,56
210,27
211,55
212,22
213,51
214,64
215,41
216,9
217,57
218,92
219,42
220,65
221,51
222,44
223,44
224,31
225,43
226,8
227,12
228,7
229,35
230,19
231,11
232,41
233,29
234,74
235,32
236,41
237,79
238,44
239,15
240,38
241,4
242,34
243,3
244,56
245,73
246,34
247,1
248,72
249,70
250,50
251,12
252,6
253,62
254,9
255,24
256,10
257,40
258,27
259,59
260,7
261,2
262,64
263,22
264,50
265,28
266,60
267,23
268,55
269,68
270,89
271,40
272,2
273,7
274,3
275,73
276,53
277,23
278,32
279,76
280,37
281,30
282,33
283,59
284,42
285,83
286,24
287,18
288,28
289,58
290,37
291,54
292,7
293,9
294,4
295,31
296,28
297,7
298,45
299,12
300,71
301,72
302,57
303,59
304,30
305,8
