"time","newInfectors","newInfections","r","sevenDayAverageR"
0.0,100,400,4.0,4.0
0.5,5,11,2.2,3.1
1.0,9,41,4.555555555555555,3.5851851851851855
1.5,15,98,6.533333333333333,4.322222222222223
2.0,7,39,5.571428571428571,4.572063492063492
2.5,15,52,3.466666666666667,4.3878306878306885
3.0,19,73,3.8421052631578947,4.309869912877432
3.5,24,103,4.291666666666667,4.307594507101086
4.0,33,140,4.242424242424242,4.300353366581437
4.5,39,191,4.897435897435898,4.360061619666883
5.0,21,61,2.9047619047619047,4.2277616455846125
5.5,35,121,3.4571428571428573,4.163543413214466
6.0,24,134,5.583333333333333,4.272758022454379
6.5,27,86,3.185185185185185,4.1950742483637224
7.0,95,414,4.3578947368421055,4.220638158138159
7.5,108,400,3.7037037037037037,4.328045565545565
8.0,114,440,3.8596491228070176,4.278337963206384
8.5,113,372,3.2920353982300883,4.046816682127581
9.0,137,393,2.8686131386861313,3.853758436931692
9.5,199,663,3.3316582914572863,3.8441149815595934
10.0,200,526,2.63,3.7575360341911725
10.5,238,585,2.457983193277311,3.62655864323479
11.0,284,623,2.193661971830986,3.4802184810495573
11.5,361,721,1.997229916897507,3.273060911011101
12.0,145,263,1.813793103448276,3.1951345680601273
12.5,213,386,1.812206572769953,3.077639119176349
13.0,201,297,1.4776119402985075,2.7843733053881468
13.5,228,343,1.5043859649122806,2.6643162182257965
14.0,591,819,1.385786802030457,2.452022794310679
14.5,536,664,1.2388059701492538,2.275958670485361
15.0,479,628,1.3110647181628392,2.0939169272964913
15.5,530,662,1.2490566037735849,1.9479898705495982
16.0,509,598,1.174852652259332,1.8270069786619696
16.5,540,612,1.1333333333333333,1.6699837673674014
17.0,509,527,1.0353634577603144,1.556081157207424
17.5,527,532,1.0094876660341556,1.45261719097577
18.0,512,456,0.890625,1.3595431215592708
18.5,450,378,0.84,1.2768838417808774
19.0,440,401,0.9113636363636364,1.2124245941319745
19.5,468,434,0.9273504273504274,1.1492205837448655
20.0,416,324,0.7788461538461539,1.0993087418554117
20.5,490,399,0.8142857142857143,1.050015866810657
21.0,583,384,0.6586620926243568,0.9980783875673641
21.5,520,353,0.6788461538461539,0.9580812578314283
22.0,495,308,0.6222222222222222,0.9088782224070985
22.5,489,290,0.5930470347648262,0.8620203960493299
23.0,483,226,0.46790890269151136,0.8115244139373428
23.5,486,251,0.5164609053497943,0.7674620976528043
24.0,452,190,0.42035398230088494,0.7235328494057021
24.5,436,208,0.47706422018348627,0.6855026032735114
