numerical__Application_Date,numerical__Age,numerical__Income,numerical__Debt_Ratio,numerical__Nb_Borrowers,numerical__Loan_Amt,numerical__Loan_Amt_Req,numerical__LTV,numerical__FICO_Score,numerical__Prior_Custom_Score,numerical__Current_Custom_Score,numerical__CB_Age_Oldest_TL,numerical__CB_Age_Newest_TL,numerical__CB_Avg_Mos_File,numerical__CB_Nb_Sat_TL,numerical__CB_Nb_60_Plus_TL,numerical__CB_Nb_90_Plus_TL,numerical__CB_Pct_Sat_TL,numerical__CB_Mos_Since_Dlq,numerical__CB_Max_Dlq_12_Mos,numerical__CB_Max_Dlq_Ever,numerical__CB_Nb_Total_TL,numerical__CB_Nb_TL_Open_12,numerical__CB_Pct_IL_TL,numerical__CB_Nb_Inq_6_Mos,numerical__CB_Nb_Inq_6_Mos_excl_7_Days,numerical__CB_Rev_Util,numerical__CB_IL_Util,numerical__CB_Nb_Rev_TL_w_Bal,numerical__CB_Nb_IL_TL_w_Bal,numerical__CB_Nb_Rev_Tl_75_Pct_Limit,numerical__CB_Pct_TL_w_Bal,categorical__Region_REG1,categorical__Region_REG2,categorical__Region_REG3,categorical__Region_REG4,categorical__Region_REG5,categorical__Bank_Relationship_M_Ever,categorical__Bank_Relationship_M_Open,categorical__Bank_Relationship_O_Ever,categorical__Bank_Relationship_O_Open,categorical__Bank_Relationship_nan,target
20100501.0,33.0,3709.0,35.0,1.0,127000.0,32000.0,87.0,607.0,245.0,224.0,144.0,4.0,84.0,20.0,3.0,0.0,83.0,2.0,3.0,5.0,23.0,1.0,43.0,0.0,0.0,33.0,74.0,8.0,1.0,1.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20111201.0,50.0,4019.0,13.0,1.0,64845.0,35000.0,54.0,641.0,223.0,191.0,58.0,15.0,41.0,2.0,4.0,4.0,100.0,999.0,0.0,8.0,7.0,0.0,67.0,0.0,0.0,0.0,74.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100801.0,73.0,3880.0,18.0,2.0,87065.0,30000.0,61.0,672.0,218.0,193.0,66.0,5.0,24.0,9.0,0.0,0.0,100.0,999.0,7.0,8.0,9.0,4.0,44.0,4.0,4.0,53.0,66.0,4.0,2.0,1.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100601.0,35.0,3334.0,44.0,1.0,97000.0,10000.0,90.0,668.0,212.0,192.0,169.0,1.0,73.0,28.0,1.0,1.0,93.0,76.0,6.0,6.0,30.0,3.0,57.0,5.0,4.0,72.0,83.0,6.0,4.0,3.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110801.0,70.0,808.0,47.0,1.0,37000.0,10000.0,90.0,750.0,288.0,243.0,333.0,27.0,132.0,12.0,0.0,0.0,100.0,999.0,7.0,8.0,12.0,0.0,25.0,1.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20111101.0,35.0,5042.0,40.0,2.0,54189.0,25000.0,99.0,631.0,231.0,194.0,137.0,11.0,78.0,31.0,0.0,0.0,91.0,1.0,4.0,6.0,32.0,1.0,47.0,0.0,0.0,62.0,93.0,12.0,4.0,3.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110401.0,36.0,8250.0,11.0,2.0,80000.0,17000.0,100.0,600.0,222.0,175.0,88.0,7.0,37.0,25.0,0.0,0.0,92.0,9.0,4.0,6.0,26.0,3.0,58.0,4.0,4.0,89.0,76.0,7.0,7.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20110301.0,41.0,2750.0,59.0,1.0,87500.0,45000.0,83.0,678.0,273.0,237.0,148.0,7.0,65.0,17.0,0.0,0.0,83.0,31.0,6.0,6.0,18.0,1.0,44.0,0.0,0.0,28.0,48.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20100301.0,57.0,12250.0,21.0,2.0,253000.0,100000.0,78.0,631.0,250.0,211.0,324.0,2.0,138.0,24.0,0.0,0.0,85.0,5.0,4.0,6.0,27.0,1.0,26.0,1.0,1.0,68.0,74.0,7.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100301.0,26.0,3975.0,15.0,2.0,51000.0,15000.0,90.0,638.0,235.0,201.0,79.0,4.0,36.0,19.0,0.0,0.0,95.0,5.0,4.0,6.0,19.0,3.0,26.0,6.0,6.0,31.0,86.0,5.0,3.0,1.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20111001.0,29.0,5338.0,30.0,2.0,165000.0,33190.0,100.0,756.0,281.0,235.0,96.0,5.0,47.0,16.0,0.0,0.0,100.0,999.0,7.0,8.0,16.0,3.0,31.0,0.0,0.0,15.0,88.0,4.0,2.0,0.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20101001.0,62.0,2500.0,9.0,1.0,22853.0,15000.0,66.0,576.0,228.0,193.0,311.0,25.0,76.0,12.0,1.0,0.0,60.0,2.0,3.0,5.0,15.0,0.0,20.0,1.0,1.0,84.0,64.0,5.0,2.0,2.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110501.0,31.0,10000.0,17.0,1.0,188815.0,35000.0,97.0,710.0,292.0,250.0,274.0,2.0,66.0,23.0,0.0,0.0,100.0,999.0,6.0,8.0,28.0,4.0,39.0,2.0,2.0,18.0,65.0,3.0,5.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100401.0,53.0,1495.0,29.0,1.0,35000.0,27000.0,77.0,684.0,276.0,251.0,256.0,6.0,117.0,11.0,1.0,1.0,100.0,999.0,7.0,8.0,14.0,1.0,8.0,0.0,0.0,13.0,74.0,2.0,2.0,0.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20111001.0,39.0,1683.0,38.0,2.0,34221.0,10000.0,86.0,651.0,233.0,194.0,262.0,26.0,95.0,3.0,2.0,2.0,75.0,27.0,6.0,4.0,6.0,0.0,100.0,0.0,0.0,29.0,74.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100601.0,49.0,5667.0,33.0,2.0,115000.0,23000.0,100.0,649.0,241.0,188.0,184.0,3.0,77.0,34.0,0.0,0.0,97.0,32.0,6.0,6.0,36.0,2.0,36.0,11.0,10.0,71.0,80.0,10.0,2.0,3.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100601.0,46.0,3470.0,30.0,2.0,77220.0,9000.0,89.0,638.0,247.0,209.0,256.0,19.0,68.0,14.0,0.0,0.0,87.0,0.0,4.0,6.0,15.0,0.0,33.0,2.0,1.0,62.0,68.0,3.0,3.0,1.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110101.0,49.0,3917.0,34.0,2.0,79000.0,16000.0,100.0,646.0,213.0,172.0,131.0,4.0,59.0,16.0,4.0,2.0,79.0,23.0,6.0,5.0,20.0,4.0,58.0,4.0,4.0,25.0,91.0,3.0,4.0,1.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20111201.0,92.0,1775.0,42.0,1.0,73656.0,50000.0,68.0,798.0,285.0,269.0,244.0,9.0,147.0,10.0,0.0,0.0,100.0,999.0,7.0,8.0,10.0,1.0,10.0,0.0,0.0,3.0,74.0,2.0,2.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100501.0,35.0,6667.0,14.0,1.0,78000.0,50000.0,79.0,661.0,224.0,181.0,43.0,2.0,26.0,15.0,1.0,1.0,100.0,999.0,7.0,8.0,17.0,2.0,25.0,4.0,4.0,31.0,83.0,5.0,1.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110101.0,32.0,4167.0,14.0,1.0,56668.0,11660.0,100.0,620.0,214.0,188.0,147.0,4.0,73.0,27.0,1.0,1.0,97.0,1.0,0.0,2.0,31.0,2.0,48.0,4.0,4.0,44.0,87.0,3.0,2.0,3.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100801.0,68.0,3334.0,23.0,1.0,95920.0,50000.0,52.0,698.0,283.0,256.0,365.0,11.0,83.0,22.0,0.0,0.0,100.0,999.0,7.0,8.0,22.0,1.0,41.0,0.0,0.0,49.0,23.0,6.0,2.0,1.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110401.0,36.0,2887.0,21.0,1.0,55825.0,15000.0,96.0,702.0,267.0,219.0,84.0,4.0,53.0,29.0,0.0,0.0,100.0,999.0,7.0,8.0,30.0,2.0,27.0,1.0,1.0,43.0,48.0,9.0,5.0,3.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20100601.0,32.0,5500.0,39.0,1.0,163240.0,42000.0,85.0,659.0,262.0,197.0,88.0,9.0,45.0,20.0,0.0,0.0,85.0,1.0,4.0,6.0,20.0,1.0,20.0,0.0,0.0,14.0,71.0,4.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100901.0,45.0,4492.0,17.0,2.0,81389.0,20000.0,85.0,656.0,245.0,189.0,91.0,4.0,55.0,19.0,1.0,1.0,90.0,0.0,0.0,2.0,20.0,2.0,50.0,2.0,2.0,24.0,81.0,6.0,3.0,1.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110501.0,42.0,5333.0,18.0,1.0,101300.0,6800.0,100.0,622.0,237.0,202.0,265.0,3.0,79.0,25.0,2.0,1.0,93.0,13.0,0.0,5.0,28.0,2.0,48.0,1.0,1.0,63.0,50.0,8.0,2.0,0.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20101201.0,31.0,1410.0,21.0,1.0,122606.0,20000.0,16.0,623.0,231.0,191.0,150.0,16.0,72.0,18.0,2.0,0.0,55.0,4.0,4.0,5.0,22.0,0.0,45.0,1.0,1.0,79.0,38.0,7.0,3.0,0.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20101101.0,36.0,4833.0,15.0,2.0,86339.0,20000.0,87.0,742.0,293.0,257.0,162.0,7.0,94.0,17.0,0.0,0.0,100.0,999.0,7.0,8.0,17.0,1.0,29.0,0.0,0.0,28.0,74.0,3.0,1.0,1.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20101101.0,57.0,7500.0,16.0,2.0,183623.0,25000.0,58.0,665.0,261.0,208.0,284.0,32.0,107.0,15.0,2.0,2.0,82.0,3.0,4.0,4.0,17.0,0.0,53.0,1.0,1.0,19.0,50.0,3.0,2.0,1.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100701.0,53.0,15000.0,10.0,2.0,126412.0,100000.0,79.0,686.0,197.0,187.0,476.0,8.0,157.0,38.0,4.0,4.0,100.0,999.0,6.0,8.0,39.0,1.0,36.0,4.0,4.0,50.0,54.0,14.0,2.0,4.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110801.0,43.0,2465.0,23.0,1.0,44000.0,10000.0,100.0,696.0,237.0,199.0,179.0,3.0,62.0,15.0,3.0,2.0,83.0,37.0,6.0,2.0,18.0,4.0,33.0,5.0,5.0,5.0,9.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20101001.0,30.0,3334.0,22.0,2.0,69832.0,16600.0,100.0,600.0,201.0,138.0,114.0,12.0,49.0,9.0,3.0,3.0,64.0,4.0,0.0,2.0,12.0,0.0,27.0,0.0,0.0,62.0,14.0,6.0,2.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110901.0,42.0,4480.0,43.0,2.0,157500.0,45000.0,90.0,678.0,239.0,184.0,133.0,7.0,44.0,39.0,2.0,2.0,100.0,999.0,6.0,8.0,39.0,4.0,67.0,2.0,2.0,15.0,73.0,5.0,2.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20120101.0,55.0,3333.0,23.0,2.0,70000.0,50000.0,71.0,719.0,274.0,229.0,164.0,4.0,66.0,19.0,0.0,0.0,100.0,999.0,7.0,8.0,19.0,2.0,21.0,0.0,0.0,53.0,92.0,5.0,1.0,1.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20101101.0,31.0,5067.0,24.0,2.0,77518.0,8400.0,100.0,675.0,210.0,163.0,118.0,6.0,37.0,23.0,2.0,2.0,88.0,70.0,6.0,2.0,26.0,5.0,42.0,0.0,0.0,31.0,70.0,5.0,3.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20101001.0,32.0,11750.0,10.0,2.0,88792.0,80000.0,90.0,788.0,312.0,269.0,153.0,33.0,92.0,13.0,0.0,0.0,100.0,999.0,7.0,8.0,14.0,0.0,7.0,0.0,0.0,1.0,74.0,1.0,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20100801.0,55.0,4708.0,35.0,2.0,57661.0,10000.0,72.0,585.0,222.0,191.0,186.0,13.0,96.0,22.0,3.0,1.0,84.0,2.0,0.0,2.0,25.0,0.0,56.0,4.0,3.0,79.0,50.0,5.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100901.0,49.0,2833.0,16.0,2.0,40590.0,30000.0,74.0,688.0,281.0,205.0,127.0,25.0,57.0,23.0,0.0,0.0,96.0,70.0,6.0,6.0,24.0,0.0,13.0,0.0,0.0,51.0,74.0,9.0,2.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110101.0,32.0,3500.0,22.0,1.0,73000.0,10300.0,100.0,663.0,212.0,181.0,116.0,10.0,37.0,14.0,1.0,1.0,93.0,72.0,6.0,2.0,15.0,1.0,13.0,2.0,2.0,52.0,74.0,3.0,1.0,2.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100401.0,21.0,1333.0,44.0,1.0,48048.0,21000.0,100.0,732.0,240.0,204.0,21.0,4.0,13.0,11.0,0.0,0.0,100.0,999.0,7.0,8.0,11.0,5.0,64.0,3.0,3.0,7.0,74.0,3.0,2.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100701.0,72.0,3087.0,34.0,2.0,111430.0,70000.0,63.0,777.0,294.0,270.0,318.0,18.0,90.0,13.0,0.0,0.0,100.0,999.0,7.0,8.0,13.0,0.0,62.0,0.0,0.0,0.0,44.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20111101.0,46.0,12942.0,25.0,2.0,257477.0,88400.0,100.0,799.0,308.0,254.0,230.0,13.0,73.0,11.0,0.0,0.0,100.0,999.0,7.0,8.0,13.0,0.0,62.0,0.0,0.0,1.0,71.0,1.0,4.0,0.0,71.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20100601.0,60.0,5500.0,17.0,1.0,105000.0,22000.0,100.0,722.0,280.0,238.0,293.0,4.0,74.0,33.0,0.0,0.0,100.0,999.0,7.0,8.0,34.0,1.0,38.0,2.0,2.0,37.0,74.0,13.0,1.0,0.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110901.0,21.0,3380.0,9.0,2.0,36000.0,5000.0,87.0,688.0,246.0,198.0,37.0,4.0,20.0,19.0,0.0,0.0,100.0,999.0,7.0,8.0,20.0,2.0,20.0,3.0,3.0,42.0,73.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110701.0,50.0,12500.0,15.0,1.0,145138.0,76800.0,100.0,709.0,279.0,210.0,255.0,16.0,100.0,40.0,0.0,0.0,100.0,999.0,7.0,8.0,44.0,0.0,23.0,1.0,1.0,79.0,74.0,18.0,1.0,13.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20101101.0,45.0,2250.0,46.0,1.0,95000.0,50000.0,91.0,703.0,274.0,253.0,209.0,2.0,95.0,41.0,0.0,0.0,100.0,999.0,7.0,8.0,42.0,3.0,38.0,1.0,1.0,42.0,74.0,7.0,2.0,2.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100401.0,54.0,5489.0,31.0,2.0,117000.0,48400.0,92.0,761.0,291.0,246.0,398.0,3.0,118.0,29.0,0.0,0.0,100.0,999.0,7.0,8.0,29.0,2.0,31.0,3.0,3.0,22.0,87.0,6.0,3.0,0.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20100601.0,45.0,7083.0,18.0,2.0,132792.0,25000.0,83.0,784.0,305.0,266.0,326.0,7.0,111.0,26.0,0.0,0.0,100.0,999.0,7.0,8.0,30.0,1.0,40.0,0.0,0.0,12.0,89.0,3.0,2.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20101001.0,30.0,5133.0,12.0,1.0,45000.0,16000.0,100.0,606.0,238.0,163.0,114.0,6.0,59.0,19.0,0.0,0.0,89.0,5.0,4.0,6.0,19.0,1.0,53.0,1.0,1.0,97.0,90.0,8.0,2.0,6.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100801.0,70.0,8667.0,42.0,2.0,393400.0,59330.0,95.0,660.0,224.0,173.0,478.0,12.0,97.0,44.0,0.0,0.0,89.0,1.0,4.0,6.0,47.0,0.0,32.0,9.0,9.0,63.0,74.0,9.0,2.0,6.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100501.0,40.0,7083.0,23.0,2.0,139447.0,66750.0,82.0,735.0,273.0,246.0,197.0,23.0,91.0,15.0,0.0,0.0,100.0,999.0,7.0,8.0,17.0,0.0,41.0,5.0,5.0,57.0,32.0,2.0,2.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110601.0,49.0,5383.0,20.0,2.0,108950.0,33900.0,98.0,741.0,309.0,240.0,243.0,17.0,77.0,35.0,0.0,0.0,97.0,67.0,6.0,6.0,39.0,0.0,36.0,2.0,2.0,20.0,74.0,4.0,1.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20100801.0,38.0,7700.0,15.0,2.0,104610.0,30000.0,90.0,716.0,280.0,221.0,183.0,18.0,92.0,21.0,0.0,0.0,100.0,999.0,7.0,8.0,22.0,0.0,27.0,0.0,0.0,88.0,91.0,9.0,3.0,5.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100401.0,45.0,4217.0,48.0,1.0,91234.0,17000.0,88.0,691.0,259.0,224.0,176.0,8.0,96.0,20.0,0.0,0.0,95.0,17.0,5.0,6.0,20.0,1.0,30.0,0.0,0.0,74.0,71.0,8.0,4.0,3.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100901.0,52.0,20000.0,20.0,1.0,230000.0,72000.0,100.0,736.0,278.0,247.0,368.0,6.0,74.0,42.0,0.0,0.0,98.0,23.0,5.0,6.0,43.0,3.0,49.0,3.0,3.0,10.0,19.0,8.0,2.0,0.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100701.0,37.0,0.0,28.0,2.0,0.0,16000.0,27.0,699.0,0.0,189.0,186.0,6.0,76.0,20.0,0.0,0.0,97.0,70.0,6.0,6.0,21.0,1.0,33.0,1.0,1.0,29.0,74.0,3.0,2.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20101101.0,57.0,5825.0,21.0,2.0,84500.0,26600.0,100.0,719.0,295.0,247.0,300.0,14.0,124.0,22.0,0.0,0.0,100.0,999.0,7.0,8.0,23.0,0.0,39.0,0.0,0.0,57.0,74.0,4.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110201.0,37.0,3829.0,30.0,2.0,91059.0,15000.0,99.0,722.0,288.0,232.0,150.0,11.0,54.0,14.0,0.0,0.0,100.0,999.0,7.0,8.0,15.0,1.0,40.0,0.0,0.0,32.0,96.0,4.0,2.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100801.0,69.0,9001.0,7.0,2.0,69591.0,9791.0,100.0,703.0,239.0,206.0,168.0,8.0,62.0,10.0,0.0,0.0,100.0,999.0,7.0,8.0,11.0,1.0,18.0,5.0,5.0,60.0,82.0,7.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20100301.0,30.0,4933.0,13.0,2.0,43923.0,9700.0,100.0,608.0,170.0,135.0,118.0,4.0,69.0,12.0,7.0,4.0,50.0,4.0,3.0,3.0,22.0,2.0,27.0,2.0,2.0,79.0,79.0,5.0,2.0,2.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
