numerical__Application_Date,numerical__Age,numerical__Income,numerical__Debt_Ratio,numerical__Nb_Borrowers,numerical__Loan_Amt,numerical__Loan_Amt_Req,numerical__LTV,numerical__FICO_Score,numerical__Prior_Custom_Score,numerical__Current_Custom_Score,numerical__CB_Age_Oldest_TL,numerical__CB_Age_Newest_TL,numerical__CB_Avg_Mos_File,numerical__CB_Nb_Sat_TL,numerical__CB_Nb_60_Plus_TL,numerical__CB_Nb_90_Plus_TL,numerical__CB_Pct_Sat_TL,numerical__CB_Mos_Since_Dlq,numerical__CB_Max_Dlq_12_Mos,numerical__CB_Max_Dlq_Ever,numerical__CB_Nb_Total_TL,numerical__CB_Nb_TL_Open_12,numerical__CB_Pct_IL_TL,numerical__CB_Nb_Inq_6_Mos,numerical__CB_Nb_Inq_6_Mos_excl_7_Days,numerical__CB_Rev_Util,numerical__CB_IL_Util,numerical__CB_Nb_Rev_TL_w_Bal,numerical__CB_Nb_IL_TL_w_Bal,numerical__CB_Nb_Rev_Tl_75_Pct_Limit,numerical__CB_Pct_TL_w_Bal,categorical__Region_REG1,categorical__Region_REG2,categorical__Region_REG3,categorical__Region_REG4,categorical__Region_REG5,categorical__Bank_Relationship_M_Ever,categorical__Bank_Relationship_M_Open,categorical__Bank_Relationship_O_Ever,categorical__Bank_Relationship_O_Open,categorical__Bank_Relationship_nan,target
20100701.0,34.0,7333.0,41.0,2.0,295000.0,50000.0,77.0,696.0,251.0,222.0,162.0,5.0,65.0,29.0,1.0,1.0,100.0,999.0,7.0,8.0,24.0,2.0,34.0,5.0,5.0,14.0,74.0,3.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
20101001.0,30.0,8000.0,18.0,2.0,142541.0,13700.0,100.0,645.0,221.0,154.0,186.0,4.0,35.0,19.0,0.0,0.0,95.0,8.0,4.0,6.0,36.0,2.0,32.0,0.0,0.0,79.0,90.0,5.0,3.0,4.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
20100601.0,56.0,5933.0,13.0,2.0,97000.0,12000.0,92.0,706.0,259.0,190.0,74.0,27.0,48.0,3.0,0.0,0.0,100.0,999.0,7.0,8.0,3.0,0.0,100.0,2.0,2.0,29.0,98.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20110201.0,53.0,4416.0,31.0,1.0,231000.0,50000.0,63.0,646.0,234.0,172.0,189.0,31.0,80.0,8.0,3.0,2.0,36.0,32.0,6.0,3.0,11.0,0.0,27.0,2.0,2.0,57.0,74.0,3.0,1.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
20110401.0,28.0,3167.0,22.0,2.0,62000.0,17500.0,100.0,672.0,237.0,220.0,97.0,2.0,46.0,8.0,0.0,0.0,100.0,999.0,7.0,8.0,9.0,1.0,33.0,1.0,1.0,66.0,48.0,5.0,2.0,1.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
20100601.0,29.0,6783.0,49.0,1.0,301000.0,100000.0,84.0,760.0,276.0,276.0,103.0,23.0,62.0,11.0,0.0,0.0,100.0,999.0,7.0,8.0,11.0,0.0,27.0,0.0,0.0,5.0,23.0,1.0,2.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
20100401.0,40.0,5347.0,49.0,2.0,350000.0,70000.0,79.0,771.0,279.0,279.0,186.0,18.0,75.0,23.0,0.0,0.0,100.0,999.0,7.0,8.0,25.0,0.0,32.0,1.0,1.0,1.0,74.0,2.0,2.0,1.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
20100501.0,60.0,4238.0,54.0,1.0,151505.0,87000.0,71.0,806.0,299.0,282.0,451.0,20.0,207.0,9.0,0.0,0.0,100.0,999.0,7.0,8.0,9.0,0.0,11.0,1.0,1.0,1.0,74.0,4.0,2.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
20101201.0,76.0,3333.0,33.0,1.0,166207.0,50000.0,40.0,787.0,260.0,253.0,19.0,24.0,162.0,17.0,0.0,0.0,100.0,999.0,7.0,8.0,5.0,0.0,18.0,1.0,1.0,17.0,74.0,4.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
20100401.0,31.0,5750.0,31.0,2.0,119000.0,27000.0,96.0,652.0,261.0,209.0,161.0,9.0,51.0,15.0,0.0,0.0,82.0,5.0,4.0,6.0,17.0,1.0,29.0,0.0,0.0,35.0,44.0,4.0,2.0,1.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
